HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458147.87609,2018-01-29.3708515,bb,1.72,16.903,>16.903,99.990,0.202,0.133,V
2458148.87441,2018-01-30.3691449,br,2.00,17.480,>17.480,99.990,-0.144,0.074,g
2458148.91416,2018-01-30.4089046,bb,1.70,16.691,>16.691,99.990,-0.562,0.162,V
2458158.77029,2018-02-09.2649512,br,1.45,18.614,>18.614,99.990,0.082,0.026,g
2458158.97139,2018-02-09.4660464,bb,2.07,17.780,>17.780,99.990,-0.157,0.059,V
2458159.76347,2018-02-10.2581307,br,1.54,18.956,>18.956,99.990,-0.027,0.019,g
2458161.76004,2018-02-12.2547030,br,1.54,18.764,>18.764,99.990,0.003,0.023,g
2458161.94885,2018-02-12.4435260,bb,1.68,17.884,>17.884,99.990,-0.052,0.054,V
2458162.75415,2018-02-13.2488229,br,1.43,18.719,>18.719,99.990,-0.048,0.024,g
2458164.75586,2018-02-15.2505521,br,1.48,18.870,>18.870,99.990,-0.030,0.021,g
2458170.74069,2018-02-21.2354655,br,1.44,18.401,>18.401,99.990,-0.091,0.032,g
2458170.94747,2018-02-21.4422510,bb,1.68,18.045,>18.045,99.990,-0.145,0.046,V
2458171.76722,2018-02-22.2620136,br,1.42,18.868,>18.868,99.990,0.050,0.021,g
2458180.65555,2018-03-03.1505958,br,1.83,17.286,>17.286,99.990,-0.317,0.088,g
2458181.94026,2018-03-04.4353464,br,1.59,17.296,>17.296,99.990,0.016,0.088,g
2458184.66520,2018-03-07.1603980,br,1.58,18.909,>18.909,99.990,-0.030,0.020,g
2458184.99619,2018-03-07.4913958,bb,1.68,17.636,>17.636,99.990,0.204,0.068,V
2458187.90195,2018-03-10.3972778,br,1.60,18.425,>18.425,99.990,-0.007,0.031,g
2458191.60840,2018-03-14.1039133,br,1.52,18.287,>18.287,99.990,-0.090,0.035,g
2458193.63557,2018-03-16.1311834,br,1.51,18.404,>18.404,99.990,0.073,0.032,g
2458194.73663,2018-03-17.2323081,br,1.43,18.448,>18.448,99.990,-0.060,0.030,g
2458196.82378,2018-03-19.3195703,bb,1.65,18.088,>18.088,99.990,-0.032,0.045,V
2458206.86534,2018-03-29.3617695,bb,2.08,16.771,>16.771,99.990,-0.206,0.150,V
2458208.76037,2018-03-31.2569269,br,1.56,16.943,>16.943,99.990,0.071,0.121,g
2458210.81463,2018-04-02.3113335,br,1.45,17.174,>17.174,99.990,0.005,0.098,g
2458211.66848,2018-04-03.1652442,br,1.38,17.958,>17.958,99.990,0.077,0.048,g
2458217.60882,2018-04-09.1060483,br,2.35,18.750,>18.750,99.990,-0.048,0.023,g
2458220.84620,2018-04-12.3436815,bb,1.63,17.743,>17.743,99.990,-0.192,0.061,V
2458221.84254,2018-04-13.3401031,bb,1.71,17.918,>17.918,99.990,-0.048,0.052,V
2458224.72402,2018-04-16.2218224,br,1.40,18.269,>18.269,99.990,-0.083,0.036,g
2458231.65105,2018-04-23.1494518,br,1.40,17.564,>17.564,99.990,-0.118,0.068,g
2458235.77039,2018-04-27.2691599,bb,1.72,16.527,>16.527,99.990,0.042,0.188,V
2458240.68602,2018-05-02.1852384,br,1.69,17.431,>17.431,99.990,-0.028,0.077,g
2458244.77060,2018-05-06.2701880,bb,1.72,17.847,>17.847,99.990,-0.043,0.056,V
2458248.80652,2018-05-10.3064827,bb,2.00,17.846,>17.846,99.990,0.080,0.056,V
2458251.77042,2018-05-13.2706644,bb,1.66,18.084,>18.084,99.990,0.033,0.045,V
2458253.81257,2018-05-15.3129954,bb,2.03,17.301,>17.301,99.990,-0.345,0.092,V
